Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,Income
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Private,Masters,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40,United-States,LessThan50K
>50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,60,United-States,LessThan50K
>50,Private,HS-grad,Divorced,Craft-repair,Unmarried,Black,Male,48,United-States,MoreThan50K
31-50,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,?,MoreThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,38,United-States,LessThan50K
22-30,Private,12th,Never-married,Other-service,Unmarried,Black,Male,38,United-States,LessThan50K
22-30,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,MoreThan50K
31-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,MoreThan50K
31-50,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,30,United-States,LessThan50K
>50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,18-21,United-States,LessThan50K
31-50,Federal-gov,Assoc-voc,Divorced,Exec-managerial,Unmarried,Black,Female,45,United-States,LessThan50K
>50,?,Assoc-acdm,Divorced,?,Unmarried,White,Female,1,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,50,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,MoreThan50K
18-21,Private,10th,Never-married,Other-service,Not-in-family,Black,Male,18-21,United-States,LessThan50K
>50,Private,Some-college,Widowed,Transport-moving,Not-in-family,White,Male,28,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
>50,Self-emp-not-inc,HS-grad,Widowed,Other-service,Other-relative,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Priv-house-serv,Unmarried,White,Female,60,Columbia,LessThan50K
22-30,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,25,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,LessThan50K
31-50,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,58,United-States,LessThan50K
31-50,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,52,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,MoreThan50K
>50,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,38,United-States,LessThan50K
22-30,?,10th,Never-married,?,Own-child,Black,Male,40,United-States,LessThan50K
>50,Federal-gov,Some-college,Divorced,Other-service,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,25,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,?,MoreThan50K
31-50,Federal-gov,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,LessThan50K
>50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,MoreThan50K
31-50,Private,Masters,Never-married,Sales,Not-in-family,White,Male,50,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,Italy,MoreThan50K
>50,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,LessThan50K
>50,Private,11th,Widowed,Handlers-cleaners,Not-in-family,Black,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,70,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,LessThan50K
22-30,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Other-service,Own-child,White,Female,35,United-States,LessThan50K
31-50,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Other-service,Own-child,White,Female,35,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wife,White,Female,75,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,45,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,MoreThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
31-50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,60,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
>50,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,MoreThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,25,Mexico,LessThan50K
22-30,State-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,MoreThan50K
22-30,Local-gov,12th,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,United-States,LessThan50K
>50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
22-30,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,18-21,United-States,LessThan50K
>50,Private,Some-college,Widowed,Exec-managerial,Not-in-family,White,Male,60,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,LessThan50K
22-30,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,56,United-States,MoreThan50K
18-21,Private,1st-4th,Never-married,Handlers-cleaners,Not-in-family,White,Male,55,Mexico,LessThan50K
31-50,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,12,United-States,LessThan50K
31-50,State-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,LessThan50K
22-30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
>50,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,30,Mexico,LessThan50K
31-50,Private,10th,Never-married,Handlers-cleaners,Not-in-family,White,Female,34,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,MoreThan50K
>50,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,70,United-States,MoreThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Japan,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,37,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,Outlying-US(Guam-USVI-etc),LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,?,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,LessThan50K
31-50,Private,Some-college,Separated,Sales,Not-in-family,White,Male,45,United-States,LessThan50K
31-50,State-gov,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Local-gov,Assoc-acdm,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,48,United-States,MoreThan50K
22-30,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40,Mexico,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,35,United-States,LessThan50K
22-30,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,LessThan50K
31-50,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,MoreThan50K
31-50,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,18-21,China,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,22,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
31-50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,MoreThan50K
31-50,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,55,United-States,LessThan50K
>50,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,MoreThan50K
31-50,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,35,United-States,LessThan50K
>50,Private,7th-8th,Widowed,Machine-op-inspct,Not-in-family,White,Female,18-21,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,35,Trinadad&Tobago,LessThan50K
31-50,Private,Assoc-voc,Divorced,Other-service,Unmarried,White,Female,18-21,United-States,LessThan50K
18-21,Private,11th,Never-married,Adm-clerical,Own-child,White,Female,15,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,55,United-States,LessThan50K
31-50,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,70,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,LessThan50K
31-50,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,LessThan50K
>50,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,9th,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,48,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,MoreThan50K
31-50,Private,10th,Never-married,Other-service,Unmarried,Black,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,State-gov,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,LessThan50K
>50,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Assoc-acdm,Divorced,Transport-moving,Not-in-family,Black,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,MoreThan50K
31-50,Self-emp-not-inc,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,80,United-States,LessThan50K
31-50,Private,Prof-school,Divorced,Prof-specialty,Unmarried,White,Female,35,United-States,MoreThan50K
18-21,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,25,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,40,Philippines,LessThan50K
<18,Self-emp-not-inc,10th,Never-married,Adm-clerical,Own-child,White,Male,10,United-States,LessThan50K
22-30,State-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Other-service,Own-child,White,Female,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,25,United-States,MoreThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,30,United-States,LessThan50K
31-50,Private,11th,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,15,United-States,LessThan50K
>50,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,MoreThan50K
>50,?,10th,Widowed,?,Other-relative,Asian-Pac-Islander,Female,1,China,LessThan50K
31-50,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,55,United-States,LessThan50K
>50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,MoreThan50K
>50,?,Some-college,Widowed,?,Not-in-family,Amer-Indian-Eskimo,Male,3,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,Philippines,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,25,Canada,LessThan50K
>50,Local-gov,HS-grad,Divorced,Adm-clerical,Other-relative,White,Female,35,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,18-21,United-States,LessThan50K
31-50,State-gov,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,?,12th,Never-married,?,Other-relative,Black,Male,18-21,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,LessThan50K
>50,?,5th-6th,Married-spouse-absent,?,Not-in-family,White,Male,30,United-States,LessThan50K
31-50,Private,9th,Divorced,Sales,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,MoreThan50K
31-50,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,38,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,MoreThan50K
18-21,Private,11th,Never-married,Other-service,Own-child,White,Female,15,United-States,LessThan50K
22-30,Local-gov,HS-grad,Never-married,Transport-moving,Own-child,White,Female,37,United-States,LessThan50K
31-50,State-gov,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,38,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Craft-repair,Unmarried,Black,Male,40,United-States,LessThan50K
>50,Private,10th,Divorced,Adm-clerical,Other-relative,White,Female,70,Germany,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,32,United-States,LessThan50K
31-50,Federal-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Self-emp-inc,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,99,United-States,LessThan50K
31-50,Private,Some-college,Separated,Tech-support,Own-child,White,Female,32,United-States,LessThan50K
31-50,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,40,United-States,LessThan50K
>50,Local-gov,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,24,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,32,United-States,LessThan50K
22-30,Private,Masters,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,40,Philippines,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
31-50,Private,Assoc-acdm,Separated,Other-service,Unmarried,Black,Female,32,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,36,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,37,United-States,LessThan50K
22-30,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Transport-moving,Not-in-family,Black,Male,37,United-States,LessThan50K
>50,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,9th,Never-married,Machine-op-inspct,Unmarried,Black,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,25,United-States,LessThan50K
22-30,?,HS-grad,Never-married,?,Own-child,White,Male,40,Germany,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,LessThan50K
31-50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
>50,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,30,United-States,MoreThan50K
22-30,Private,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,MoreThan50K
31-50,State-gov,HS-grad,Never-married,Protective-serv,Other-relative,Asian-Pac-Islander,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,LessThan50K
>50,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,LessThan50K
31-50,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,50,United-States,LessThan50K
31-50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,35,Japan,LessThan50K
31-50,Private,Some-college,Never-married,Adm-clerical,Unmarried,Black,Male,40,United-States,LessThan50K
22-30,State-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Local-gov,Assoc-acdm,Divorced,Protective-serv,Not-in-family,White,Male,56,United-States,LessThan50K
>50,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Male,40,United-States,LessThan50K
18-21,?,12th,Never-married,?,Own-child,White,Male,18-21,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,48,?,LessThan50K
31-50,Private,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,Mexico,LessThan50K
31-50,Private,Bachelors,Widowed,Prof-specialty,Unmarried,White,Female,32,United-States,LessThan50K
