Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
15.5.20,False,False,566417,Egyptian Art,"Facsimile, TT 52, offering",Nakht and his Wife Receiving Offerings,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1909; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,H. 37 cm (14 9/16 in.); w. 71 cm (27 15/16 in.); scale 1:2,"Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52","chapel, north wall, upper register [PM (5)]","MMA Graphic Expedition, 1909",,,,http://www.metmuseum.org/art/collection/search/566417,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.12,False,False,544547,Egyptian Art,"Facsimile, Khnumhotep (Beni Hasan 3), desert animal","Detail of a Wild Feline, Tomb of Khnumhotep",,Middle Kingdom,Dynasty 12,reign of Senwosret II,,Artist|Artist,,Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,or,"Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,ca. 1897–1878 B.C.,-1897,-1897,Tempera on paper,"facsimile: h. 21.5 cm (8 7/16 in); w. 36.8 cm (14 1/2 in)
Scale 1:1
framed: h.","Rogers Fund, 1933",Original from,,,,Egypt,Middle Egypt,Beni Hasan,Tomb of Khnumhotep (Tomb 3),,MMA graphic expedition 1931,,,,http://www.metmuseum.org/art/collection/search/544547,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19b,False,True,548438,Egyptian Art,"Facsimile, TT 52, offering, agriculture, Nakht, Tawy","East Wall, South Side of Nakht's Offering Chapel",,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist|Artist,,Norman de Garis Davies|Lancelot Crane,1865–1941|1880–1918,,"Davies, Norman de Garis|Crane, Lancelot",,1865      |1880      ,1941      |1918      ,A.D. 1908–1910; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed: 171.5 cm (67 1/2 in.); w. 226.7 cm (89 1/4 in.); th. 6.4 cm (2 1/2 in.)
Scale: 1:1

","Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52","chapel, east wall, south side [PM (4)]","MMA Graphic Section, 1908–1910",,,,http://www.metmuseum.org/art/collection/search/548438,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.37,False,True,548581,Egyptian Art,"Facsimile, Ramose (TT 55), funeral procession","Funeral Procession, Tomb of Ramose",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Akhenaten,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,probably 1914-1915; original ca. 1353–1336 B.C.,-1353,-1336,Tempera on paper,"Facsimile H. 81 cm (31 7/8 in.); w. 574.5 cm (226 3/16 in.)
scale 1:1
Framed H. 86.4 cm (34 in); w. 570 cm (224 7/16 in); th. 6.4 cm (2 1/2 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Ramose (TT 55),"south wall, east side [PM (5)]","Graphic Expedition, probably 1914-1915",,,,http://www.metmuseum.org/art/collection/search/548581,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19f,False,True,548582,Egyptian Art,"Facsimile, TT 52, north wall, offering scenes, Nakht, Tawy",North Wall of Nakht's Offering Chapel,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1909–1910; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed: H. 158.8 cm (62 1/2 in.); w. 153.7 cm (60 1/2 in.); th. 3.2 cm (1 1/4 in.)
Scale: 1:1","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52","chapel, north wall [PM (5)]","MMA Graphic Section, 1909–1910",,,,http://www.metmuseum.org/art/collection/search/548582,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1986.307.8,False,False,4901,American Decorative Arts,Plate,Plate,American,,,,,Decorator|Maker|Maker,After,L. T. Lloyde|Haviland & Co.|Dorothea Warren O'Hara,"American and French, 1864–1931|American, Kansas City, Missouri 1873–1972 Delray Beach, Florida",,"Lloyde, L. T.|Haviland & Co.|O'Hara, Dorothea Warren",American and French|American,1864      |1873      ,9999      |1931      |1972      ,ca.1908,1908,1908,"Porcelain, overglaze enamel decoration",H. 1 1/4 in. (3.2 cm); Diam. 8 1/2 in. (21.6 cm),"Purchase, Friends of the American Wing Fund and Anonymous Gift, 1986",Made in|Made in,Limoges,Haute-Vienne,Haute-Vienne,United States|France,Western,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/4901,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1997.206,False,False,15933,American Decorative Arts,Vase,Vase,American,,,,,Designer|Manufacturer|Maker,Designed by|Attributed to,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|Tiffany Furnaces,"American, New York 1848–1933 New York|American, 1892–1902|New York",or,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Furnaces",American,1848      |1892      ,1933      |1902      |9999      ,ca. 1900–1915,1897,1918,Favrile glass,16 1/16 x 9 1/16 x 5 1/8 in. (40.8 x 23 x 13 cm),"Gift of Helen Palmer Andrus, in memory of Helen Andrus Pinkham, 1997",Made in,New York,Queens,Queens,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/15933,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.11,False,False,544546,Egyptian Art,"Facsimile, Khnumhotep (Beni Hasan 3), desert animal","Detail of a Desert Animal, Tomb of Khnumhotep",,Middle Kingdom,Dynasty 12,reign of Senwosret II,,Artist|Artist,,Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,or,"Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,ca. 1897–1878 B.C.,-1897,-1897,Tempera on paper,"facsimile: h. 13.8 cm (5 7/16 in); w. 18.5 cm (7 5/16 in)
Scale 1:1
framed: h.","Rogers Fund, 1933",Original from,,,,Egypt,Middle Egypt,Beni Hasan,Tomb of Khnumhotep (Tomb 3),,MMA graphic expedition 1931,,,,http://www.metmuseum.org/art/collection/search/544546,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
23.63,False,False,571781,Egyptian Art,"Facsimile, Khuenre",Copy of painting from Khuenre's mastaba,,Twentieth Century; original Old Kingdom,Dynasty 4,reign of Menkaure,,Artist,,Joseph Lindon Smith,"American, Pawtucket, Rhode Island 1863–1950 Dublin, New Hampshire",,"Smith, Joseph Lindon",American,1863      ,1950      ,original ca. 2490–2472 B.C.,-2490,-2490,"Oil, canvas",framed: h. 94 cm (37 in); w. 117 cm (46 1/16 in),"Gift of Mrs. Arthur Curtiss James, 1923",Original from,,,,Egypt,Memphite Region,Giza,Menkaure Quarry Cemetery,Rock-cut tomb MQ1 (Reisner MQ137): east wall,,,,,http://www.metmuseum.org/art/collection/search/571781,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19c,False,True,557734,Egyptian Art,"Facsimile, TT 52, false door, offerings",South Wall of Nakht's Offering Chapel,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist|Artist|Artist,,Lancelot Crane|Francis Sydney Unwin|Norman de Garis Davies,1880–1918|1885–1925|1865–1941,,"Crane, Lancelot|Unwin, Francis Sydney|Davies, Norman de Garis",,1880      |1885      |1865      ,1918      |1925      |1941      ,A.D. 1908–1910; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed: 170.2 cm (67 in.); w. 163.8 cm (64 1/2 in.); th. 3.2 cm (1 1/4 in.)
Scale: 1:1","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52","chapel, south wall [PM (2)]","MMA Graphic Section, 1908–1910",,,,http://www.metmuseum.org/art/collection/search/557734,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.13,False,False,544549,Egyptian Art,"Facsimile, Khnumhotep (Beni Hasan 3), fish","Detail of a Fish, Tomb of Khnumhotep",,Middle Kingdom,Dynasty 12,reign of Senwosret II,,Artist|Artist,,Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,or,"Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,ca. 1897–1878 B.C.,-1897,-1897,Tempera on paper,"facsimile: h. 29.4 cm (11 9/16 in); w. 45.5 cm (17 15/16 in)
Scale 1:1
framed: h.","Rogers Fund, 1933",Original from,,,,Egypt,Middle Egypt,Beni Hasan,Tomb of Khnumhotep (Tomb 3),,MMA graphic expedition 1931,,,,http://www.metmuseum.org/art/collection/search/544549,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19g,False,False,557736,Egyptian Art,"Facsimile, Nakht (TT 52), ceiling",Ceiling on the North Side of the Transverse Hall of Nakht's Offering Chapel,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1908–1910; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed: L. 141.6 cm (55 3/4 in.); w. 179.1 cm (70 1/2 in.); th. 3.2 cm (1 1/4 in.)
Scale: 1:1","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52","chapel, ceiling, north side","MMA Graphic Section, 1909–1910",,,,http://www.metmuseum.org/art/collection/search/557736,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19h,False,False,557737,Egyptian Art,"Facsimile, Nakht (TT 52), ceiling",Ceiling in the Center of the Transverse Hall of Nakht's Offering Chapel,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1909–1910; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed: L. 130.8 cm (51 1/2 in.); w. 170.2 cm (67 in.); th. 3.2 cm (1 1/4 in.)
Scale: 1:1","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52","chapel, ceiling, center","MMA Graphic Section, 1907-1908",,,,http://www.metmuseum.org/art/collection/search/557737,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19a,False,False,557735,Egyptian Art,"Facsimile, TT 52, offering, Nakht, Tawy","East Wall, Nouth Side of Nakht's Offering Chapel",,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1909-1910; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed: H. 122.6 cm (48 1/4 in.); w. 174 cm (68 1/2 in.); th. 3.2 cm (1 1/4 in.)
Scale: 1:1
","Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52","chapel, east wall, north side [PM (4)]","MMA Graphic Section, 1909–1910",,,,http://www.metmuseum.org/art/collection/search/557735,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.9,False,True,544551,Egyptian Art,"Facsimile,  Khnumhotep (Beni Hasan 3), ram","Detail of a Ram, Tomb of Khnumhotep",,Middle Kingdom,Dynasty 12,reign of Senwosret II,,Artist|Artist,,Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,or,"Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,ca. 1897–1878 B.C.,-1897,-1897,Tempera on paper,"facsimile: h. 18 cm (7 1/16 in); w. 21 cm (8 1/4 in)
Scale 1:1
framed: h.","Rogers Fund, 1933",Original from,,,,Egypt,Middle Egypt,Beni Hasan,Tomb of Khnumhotep (Tomb 3),,MMA graphic expedition 1931,,,,http://www.metmuseum.org/art/collection/search/544551,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19i,False,False,557738,Egyptian Art,"Facsimile, Nakht (TT 52), ceiling",Ceiling on the South Side of the Transverse Hall of Nakht's Offering Chapel,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1909–1910; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed: 142.2 cm (56 in.); w. 203.8 cm (80 1/4 in.); th. 3.8 cm (1 1/2 in.)
Scale: 1:1","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52","chapel, ceiling, south side","MMA Graphic Section, 1907-1908",,,,http://www.metmuseum.org/art/collection/search/557738,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.16,False,True,548575,Egyptian Art,"Facsimile, Khnumhotep (Beni Hasan 3), weavers","Weavers, Tomb of Khnumhotep",,Middle Kingdom,Dynasty 12,reign of Senwosret II,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,ca. 1897–1878 B.C.,-1897,-1897,"Paper, tempera paint, ink","facsimile: h. 66.5 cm (26 3/16 in); w. 103.5 cm (40 3/4 in)
Scale 1:1
framed: h. 69.9 cm (27 1/2 in); w. 106.2 cm (41 13/16 in)","Rogers Fund, 1933",Original from,,,,Egypt,Middle Egypt,Beni Hasan,Tomb of Khnumhotep (Tomb 3),,MMA graphic expedition,,,,http://www.metmuseum.org/art/collection/search/548575,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.315,False,False,13503,American Decorative Arts,Window,Hibiscus and Parrots,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1910–20,1907,1923,Leaded Favrile glass,26 x 17 3/4 in. (66 x 45.1 cm),"Gift of Earl and Lucille Sydnor, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/13503,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.8,False,True,548566,Egyptian Art,"Facsimile, Anen (TT 120), Amenhotep III, Queen Tiye, kiosk","Amenhotep III and Queen Tiye Enthroned Beneath a Kiosk, Tomb of Anen",,New Kingdom,Dynasty 18,reign of Amenhotep III,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1390–1352 B.C.,-1390,-1352,Tempera on paper,Facsimile: H. 71.2 × W. 103.4 cm (28 1/16 × 40 11/16 in.); Framed: H. 73 × W. 104.5 cm (28 3/4 × 41 1/8 in.); Scale 1:2,"Rogers Fund, 1933",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Anen (TT 120),,MMA graphic expedition 1931,,,,http://www.metmuseum.org/art/collection/search/548566,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.6,False,False,13509,American Decorative Arts,Calendar frame,Calendar Frame,American,,,,,Maker|Designer,Designed by,Tiffany Studios|Louis Comfort Tiffany,"1902–32|American, New York 1848–1933 New York",,"Tiffany Studios |Tiffany, Louis Comfort",American,1902      |1848      ,1932      |1933      ,ca. 1905–20,1902,1923,"Bronze, glass",1 1/4 x 4 5/8 x 3 1/2 in. (3.2 x 11.7 x 8.9 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Frames,,http://www.metmuseum.org/art/collection/search/13509,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.2a–c,False,False,13505,American Decorative Arts,Inkwell,Covered Inkwell,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Gilt bronze, Favrile glass",3 x 3 1/4 x 3 1/4 in. (7.6 x 8.3 x 8.3 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13505,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
