Reign,Period,Dynasty,State,Region,Artist Nationality,City,Culture,Classification,Artist Alpha Sort,Country,Title,Object Name
,,,Staffordshire,,Italian,Stoke-on-Trent,British,Ceramics,"Nini, Jean-Baptiste|Wedgwood and Sons, Josiah",England,Medallion of Benjamin Franklin,Medallion
reign of Thutmose III–Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Aegean Islanders in the Tomb of Rekhmire,"Facsimile, Rekhmire (TT 100), Aegean Islanders"
,,,Staffordshire,,French,Stoke-on-Trent,British,Ceramics,"Neale and Company E. J.|Cochin, Charles Nicolas, II",England,Medallion of Benjamin Franklin,Medallion
,,,Staffordshire,,British,Stoke-on-Trent,British,Ceramics-Cylinder Seals-Inscribed,"Hackwood, William|Wedgwood and Sons, Josiah",England,Anti-Slavery Medallion,Medallion
,,,Staffordshire,,French,Stoke-on-Trent,British,Ceramics,"Caffiéri, Jean Jacques|Wedgwood and Sons, Josiah",England,Medallion of Benjamin Franklin,Medallion
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Roundel,Roundel
reign of Thutmose III,Twentieth Century; original New Kingdom,Dynasty 18,|,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,Fragment of a Hunting Scene,"Facsimile, Mentuherkhepeshef (TT 20), hunting"
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Rocker Blotter,Rocker blotter
,,,New England,,American,Boston,American,Furniture,"Seymour, Thomas|Doull, James|Penniman, John Ritto|Seymour, John",United States,Tall Clock,Tall clock
,,,Queens,,Austrian,New York,American,Glass,"Tiffany Glass and Decorating Company|Kreischmann, Fredolin",United States,Vase,Vase
,Middle Kingdom,Dynasty 11,,Middle Egypt,,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Detail of a Griffin, Tomb of Khety","Facsimile, Khety (Beni Hasan 17), griffin"
,,,New England,,,Boston,American,Furniture,"Davenport, A. H.|Keeler & Co.",United States,Armchair,Armchair
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Brooklyn,,French,New York,American,Glass,"Dorflinger, Christian",United States,Compote,Compote
,,,Haute-Vienne,,American and French,Atlanta|Limoges,American,Ceramics,"Lycett, Studios William|Haviland & Co.",United States|France,Plate,Plate
,,,Brooklyn,,American,New York,American,Ceramics,"Lycett, Edward|Faience Manufacturing Company ",United States,Covered Vase,Vase
,,,Staffordshire,,British,Stoke-on-Trent,British,Ceramics,"Wedgwood and Sons, Josiah|Wright, Joseph (Wright of Derby)",England,George Washington,Cameo
reign of Thutmose III–Amenhotep II ?,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Funerary Gifts from the King, Tomb of Menkheperraseneb","Facsimile, Menkheperraseneb (TT 79), funerary gifts"
,,,Haute-Vienne,,American and French,New York|Limoges,American,Ceramics,"Mason, Maude|Haviland & Co.",United States|France,Plate,Plate
,,,Queens,,American,New York,American,Ceramics,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Vase,Vase
,,,Queens,,American,New York,American,Drawings,"Tiffany Studios |Lamar, Raphael de|Tiffany, Louis Comfort|Tiffany Glass Company|Tiffany Glass and Decorating Company",United States,Design for “Woman in a Pergola with Wisteria” window,Drawing
reign of Montuhotep II,Middle Kingdom,Dynasty 11,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Women Preparing Food, Tomb of Djari","Facsimile, Djari (TT 366)"
,,,Queens,,American,New York,American,Silver,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Cup,Cup
,,,Brooklyn,,American,New York,American,Furniture,"Brooks, Thomas",United States,Armchair,Armchair
reign of Montuhotep II,Middle Kingdom,Dynasty 11,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Laden Donkeys and Ploughing, Tomb of Djar","Facsimile, Djari (TT 366, MMA 820), plowing, donkeys"
,,,Haute-Vienne,,American and French,Cincinnati|Limoges,American,Ceramics,F. B. M.|Haviland & Co.,United States|France,Plate,Plate
reign of Snefru,Original: Old Kingdom,Dynasty 4,,Memphite Region,,,,,"Wilkinson, Charles K.",Egypt,"Facsimile Painting of Geese, Tomb of Nefermaat and Itet","Facsimile, Nefermaat and Itet, Meidum geese"
reign of Senwosret II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Norman de Garis",Egypt,"Man Transporting a Hedgehog and a Hare, Tomb of Khnumhotep","Facsimile, Khnumhotep (Beni Hasan 3), hedgehogs"
Joint reign of Hatshepsut and Thutmose III,Twentieth Century; original New Kingdom,"Original New Kingdom, Dynasty 18",,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,Facsimile: Scene of Fish Preparation and Net Making,"Facsimile, Amenhotep (TT 73), fish preparation, net making"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Stevenson, Ralph",England,Pitcher,Pitcher
reign of Amenhotep II,Twentieth Century; original New Kingdom,original Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Djehuty and a Woman Make Offerings, Tomb of Djehuty","Facsimile, Djehuty (TT 45), offering scene"
reign of Senwosret II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Norman de Garis",Egypt,Leaders of the Aamu of Shu,"Facsimile,  Khnumhotep (Beni Hasan 3), nomads"
reign of Amenhotep II,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Djehuty and his Mother Receiving Offerings, Tomb of Djehuty","Facsimile, Djehuty (TT 45), offering scene"
,,,,,American,New York,American,Textiles,"Wright, Frank Lloyd|Schumacher & Co., F.",United States,Schumacher's Taliesin Line of Decorative Fabrics and Wallpapers Designed by Frank Lloyd Wright,Fabric sample book
,,,New England|New England,,,Cambridge|Boston,American,Glass,New England Glass Company |South Boston Flint Glass Works ,United States|United States|United States,Sugar bowl,Sugar bowl
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Candlestick,Candlestick
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Solon, Marc-Louis Emanuel|Minton and Company ",England,Vase,Vase
,,,Brooklyn,,French,New York|White Mills,American,Glass,"Dorflinger, Christian",United States|United States,Finger Bowl,Finger bowl
,,,Brooklyn,,American,New York,American,Ceramics,Faience Manufacturing Company ,United States,Ewer,Ewer
,,,Brooklyn,,American,New York,American,Ceramics,Faience Manufacturing Company ,United States,Vase,Vase
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Solon, Marc-Louis Emanuel|Minton and Company ",England,Vase,Vase
reign of Thutmose III–Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Sandal Maker, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), leather work, sandals"
,,,Brooklyn,,French,New York,American,Glass,"Dorflinger, Christian",United States,Candlestick,Candlestick
,,,Brooklyn,,French,New York,American,Glass,"Dorflinger, Christian",United States,Candlestick,Candlestick
,,,Merseyside,,British,Liverpool,British,Jewelry,Tobias and Company M. I.,England,Watch,Watch
reign of Thutmose III–Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Carpenter Making a Chair, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), carpenter, bow drill"
reign of Thutmose III–Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Gesso Preparation and Application, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), stucco making"
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Brickmakers Getting Water from a Pool, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), pool"
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Brickmakers, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), brickmaking"
,,,,Asmat,,Omadesep Village,,Photographs,"Ndanim|Rockefeller, Michael Clark|Gerbrands, Adrianus Alexander",Indonesia,Ndanim of Omadesep Holding a Paint Vessel (jifoi),PHOTOGRAPH
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Sculptors at Work, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), sculptors"
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,"Rekhmire and Mother Receiving Offerings, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), offering"
reign of Thutmose III,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Masons Squaring a Block, Tomb of Rekhmire","Restored copy, Rekhmire (TT 100)"
reign of Thutmose III,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Masons Squaring a Block, Tomb of Rekhmire","Restored copy, Rekhmire (TT 100)"
,,,Queens,,,New York,American,Natural Substances,Tiffany Studios ,United States,Scrapbook,Scrapbook
,,,Queens,,,New York,American,Natural Substances,Tiffany Studios ,United States,Photograph Album,Photograph album
,,,Queens,,,New York,American,Natural Substances,Tiffany Studios ,United States,Photograph Album,Photograph album
,,,Brooklyn,,American,New York,American,Ceramics,Faience Manufacturing Company ,United States,Covered Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Vase,Vase
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Dish,Dish
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Plate,Plate
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Plate,Plate
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Platter,Platter
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Plate,Plate
,,,Staffordshire,,Italian,,British,Ceramics,"Nini, Jean-Baptiste|Wedgwood and Sons, Josiah",England,Cameo Medallion,Cameo medallion
,,,Brooklyn,,French,New York|White Mills,American,Glass,"Dorflinger, Christian",United States|United States,Plate,Plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Heath, Joseph",England,Plate,Plate
,,,,South United States,American,Biloxi,American,Ceramics,"Ohr, George E.|Biloxi Art Pottery ",United States,Vase,Vase
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Meigh, Charles",England,Plate,Plate
,,,Brooklyn,,American,New York,American,Ceramics,Faience Manufacturing Company ,United States,Vase,Vase
,,,Bouches-du-Rhône,,French,Marseille,French,Ceramics,"Perrin, Pierrette Caudelot",France,Plate,Plate
,,,Bouches-du-Rhône,,French,Marseille,French,Ceramics,"Perrin, Pierrette Caudelot",France,Benjamin Franklin,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Cup Plate,Cup plate
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Plate,Plate
